,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition1,0.135723073,0.170627334,0.037489828,0.05454467,0.065862121,-0.048529526,-0.027217236,-0.007363803,0.024884757,-0.174605583,0.048675735,-0.021701673,-0.058907243,0.035616668,0.042229404,-0.001250494,-0.077764016,-0.011937825,0.49193906,-0.237277038,0.016055102,0.088715349,-0.127378272,-0.008881923,-0.041690977,0.018731714,0.052969422,0.007056505,-0.07441883,-0.036719689,0.233101487,0.050732469,-0.070039229,0.003651956,-0.037187725,-0.017185014,1.359973796,214.456334,condition1_3_3_2_0
condition1,0.194008544,0.052652941,-0.002886664,0.032892742,-0.002596723,0.006513669,-0.005862722,0.009824826,0.012048089,0.057582149,-0.010921255,0.014491654,0.025617341,-0.023090634,0.001446387,0.012813697,0.009290875,0.013279004,0.031326856,-0.018086631,-0.066179056,-0.019597184,0.010788661,-0.019569582,0.002048708,-0.030423751,0.021324333,0.203630209,-0.080903625,-0.01362774,0.085766977,0.004691902,0.014709623,-0.007040369,0.002717283,0.009576442,1.123562566,267.1838152,condition1_3_3_2_1
condition1,0.077463521,0.076735974,-0.033383784,0.036308176,0.045651162,-0.029613231,-0.015680965,-0.000183026,-0.013345386,0.079049422,0.101603745,0.048497034,-0.015815012,-0.027629501,-0.003015073,-0.018024725,-0.017111575,-0.009752563,0.10757471,0.002965082,-0.058877752,-0.000899002,0.021889793,-0.008736123,-0.007924732,-0.001281181,0.00659693,0.083620081,-0.031098208,-0.069601377,0.074145279,0.031790902,-0.022291924,0.003476906,0.022124334,-0.014056407,1.352876738,249.8664424,condition1_3_3_2_2
condition1,0.101706191,0.040427157,-0.022581622,-0.016718848,-0.001292988,0.018272504,-0.006238264,0.014549633,-0.017395016,0.28827564,-0.043695607,-0.032903866,0.057266954,-0.006016688,-0.02137197,0.029282199,-0.038650498,-0.016261623,0.026314532,0.11542775,0.002602071,-0.048126798,-0.00755603,-0.004262394,0.001380052,0.022244853,0.00404647,0.150514165,-0.088481532,-0.043629062,-0.001834127,0.009607667,-0.008456983,-0.012884031,-0.014219168,-0.006326853,1.390672228,250.1128244,condition1_3_3_5_1
condition1,0.112580373,0.038757439,-0.008339111,-0.007476308,-0.023348251,-0.013527018,-0.005896158,-0.020687065,0.016426084,0.129757337,0.008932073,0.050697496,0.027977014,0.009443017,0.025686803,0.007888579,-0.001710854,0.00692238,0.078710895,0.052953133,-0.087017909,-0.015312536,0.017948741,-0.016940724,-0.000109487,0.017631888,0.004732286,-0.007670007,-0.030479521,0.012713075,-0.014424854,-0.013437176,0.016091691,-0.012573615,-0.01369633,0.007301142,1.480477082,238.3153272,condition1_3_3_5_0
condition1,-0.101226138,0.152001313,0.078868558,0.06523661,-0.036347496,-0.006031336,-0.043864862,0.012818133,0.021280077,-0.160235391,-0.137481761,0.036581375,0.097941507,0.047565724,-0.020183338,0.020292835,-0.060552382,0.045637308,0.572667481,0.211436631,0.027011239,0.005688508,-0.017584662,-0.107347817,-0.099749899,0.070143905,-0.029864473,-0.171014751,-0.218501086,0.163393264,0.205657569,0.067784508,0.071528258,-0.090425657,-0.032868224,0.007424847,1.58421532,191.1493372,condition1_3_3_5_2
condition1,-0.102754795,0.136599181,0.063662523,0.069351388,-0.014516736,-0.067808138,-0.008634322,0.015077994,-0.003331684,-0.015237494,-0.112304426,0.016033035,0.063416558,0.022163034,-0.022163873,-0.031479355,0.012754445,0.012087639,0.447013422,0.236982259,0.05061829,-0.057364095,-0.037039404,-0.011125714,-0.035077397,-0.031965078,0.00241893,-0.064250819,-0.105128096,0.007383819,0.182347983,0.071845326,-0.000807628,-0.023735858,-0.02699309,0.000142352,1.420572433,199.9111452,condition1_3_3_4_2
condition1,0.017362972,0.086704185,-0.012171238,-0.000323876,-0.005992709,0.005435263,0.019880729,0.025310402,-0.021272909,0.127991961,-0.017930394,0.024977891,0.066402003,-0.029908852,-0.025941975,0.024572581,-0.007692735,0.002481635,0.110540043,0.100130897,-0.026730638,-0.046064221,0.056266726,0.022747567,-0.034881527,-0.027357428,-0.002312192,0.108484134,-0.017674995,0.007316333,-0.004247313,0.02723221,0.005160949,0.008463253,0.000761296,-0.008838879,1.313796031,244.9182394,condition1_3_3_4_1
condition1,0.139858362,0.055981301,-0.052011137,0.004378314,0.045915207,-0.006718472,-0.005302675,-0.012073222,-0.000753156,0.094283192,0.004192303,0.101720291,0.011479597,-0.039507423,0.005886354,0.002693146,-0.013925549,-0.026226767,0.118583389,-0.073746634,-0.09257845,0.025775451,0.010425731,-0.051307244,-0.001827025,0.03772915,-0.004953165,0.030942699,-0.003889988,-0.030626855,0.002864991,0.056014175,0.034681523,-0.036956278,-0.01393587,0.007486041,1.482451984,210.2497748,condition1_3_3_4_0
condition1,0.135344176,0.18763475,-0.071803716,0.064386943,0.009318178,-0.03876427,0.016535475,0.012200092,-0.004283669,0.025391121,0.021367921,0.101195542,-0.023972529,-0.033895611,-0.005546622,-0.037136362,-0.005939653,0.041789906,0.273468893,-0.060633229,-0.028456608,-0.008231164,-0.033884299,0.033502378,-0.00931796,-0.062268693,0.022272755,0.133420703,0.054401035,-0.157943987,0.106003964,0.042152065,-0.028492899,0.013755343,-0.021520898,-0.041445456,1.522529114,202.8786824,condition1_3_3_3_2
