,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition1,-0.074517527,0.084642863,0.009273062,0.0437679,0.000870386,-0.040655742,-0.032044681,0.005259867,0.043183388,0.075724479,0.160561837,0.058276446,-0.094123509,-0.015931133,0.004832713,0.021777638,0.009852533,-0.026403569,0.224886464,-0.072146776,-0.115030692,0.063429591,-0.045050646,-0.089397311,0.015920375,-0.020624845,-0.008894275,-0.060592546,-0.020707432,-0.111175899,0.077734772,0.099833774,-0.067117017,-0.017171253,0.037709582,-0.044940717,1.638289426,171.0557702,condition1_3_3_5_1
condition1,0.06504915,0.264527506,0.025040757,0.016764837,-0.000997172,-0.034176553,0.005941,0.011851275,-0.008365212,0.002515922,-0.047936807,0.092359983,0.03814295,-0.021770098,-0.024959487,-0.033596768,0.002390213,0.035562086,0.460465986,0.127809899,-0.29872326,-0.093289462,0.130809812,-0.00521763,-0.006996979,0.032827825,-0.031899381,0.203315611,0.233739417,-0.163626291,-0.07773125,0.046135005,0.053179953,-0.022026969,-0.019722156,-0.011783946,1.669019418,143.529444,condition1_3_3_5_0
condition1,-0.029205776,-0.047283543,-0.008739295,0.019399577,0.051278899,-0.038003706,0.035684369,-0.012668141,0.018233245,0.155670941,0.081341925,0.062543471,0.007659427,-0.039326212,-0.035538409,-0.011443325,0.018587807,-0.014300348,0.058199342,-0.018603841,-0.075928129,-0.042086466,0.012169095,0.038693887,-0.023853727,-0.016388054,0.041235933,-0.0428551,-0.031079953,-0.02154846,0.036732589,0.045114254,-0.031330948,0.014366182,0.001862126,0.005035805,1.703192006,179.3720568,condition1_3_3_5_2
condition1,-0.140820582,0.108301459,0.009318419,0.03446139,0.027169835,0.056012279,-0.018153135,0.026767862,-0.037790362,-0.223912379,-0.102259062,-0.031654064,-0.009059583,-0.092123897,0.042646764,0.023998643,-0.010942615,-0.028304324,0.769583176,0.290000812,-0.108770062,-0.025360252,0.094262152,0.015280641,-0.044513459,-0.077517115,-0.031972005,-0.244943928,-0.062245681,0.251324593,0.068193635,-0.02839547,0.007560918,0.090355929,0.005246626,-0.072597134,1.404507727,147.902402,condition1_3_3_4_2
condition1,0.089332516,-0.032745625,-0.036277338,-0.027079504,-0.002392533,-0.036376652,-0.043282318,0.009845215,-0.00783648,0.215814159,0.034591309,0.07820435,0.017011329,-0.040950961,0.01493317,0.033775623,0.007520274,0.011018188,0.161517845,0.035918618,-0.06696557,-0.023067654,0.024789619,0.013365522,0.003066721,0.011732844,0.00493756,0.141607421,-0.105823796,-0.07537524,-0.015422662,0.039029713,-0.044078319,-0.017359848,-0.023236943,0.008823151,1.673664228,199.8705422,condition1_3_3_4_1
condition1,-0.154738433,-0.129901238,-0.025964089,0.001220228,-0.017794849,-0.002968414,0.005934546,0.022499651,0.008774264,0.162457876,-0.114320633,-0.041135044,-0.075352061,-0.057016651,-0.034433828,-0.038769411,0.011557075,-0.019708834,0.051042511,-0.035823825,-0.073914059,0.039167562,0.036428407,0.025912696,-0.003520582,0.010273835,0.018877547,-0.201988051,-0.204395029,-0.077641,-0.007662665,-0.048264082,-0.07262564,-0.079457625,0.019832403,-0.041480117,1.366771845,204.5486435,condition1_3_3_4_0
condition1,-0.110058921,0.043506442,-0.024447078,-0.018898979,-0.0167753,0.024144538,0.010840525,-0.016235091,-0.009835699,0.226267082,0.017718758,0.075738005,0.014533628,-0.001098188,-0.012525406,-0.002152432,0.015834375,-0.015709863,0.105338864,-0.024472901,-0.082205857,-0.0056947,0.018216994,0.024462681,-0.000235445,-0.003056545,0.014168596,-0.032570505,-0.018598064,-0.004492693,-0.010165943,-0.010940292,0.01692829,0.019012339,-0.006948877,-0.024113441,1.657917602,161.1869728,condition1_3_2_8_0
condition1,-0.032456834,0.090319906,0.087273541,-0.013380103,0.062377107,0.006748818,-0.027522163,0.027733401,0.00927183,-0.151908949,0.029037107,0.079468934,-0.005885238,-0.055155818,0.027111937,-0.004973521,-0.020104187,-0.034262779,0.391048192,0.155785752,-0.248251364,-0.155747305,0.099067482,0.029523164,0.008291107,0.000827206,0.033125751,0.032098323,0.112648835,0.119699341,-0.036909394,-0.02669004,-0.003909228,0.014176107,0.024825999,0.000308258,1.247077217,171.0554437,condition1_3_2_8_1
condition1,0.045989248,0.105385168,-0.037099337,0.038447083,0.084839261,-0.020241301,-0.000530093,-0.043810143,0.037397418,-0.096519021,-0.010006175,0.064068926,-0.036897503,-0.06032397,0.042814423,0.023795852,-0.005451019,0.002361828,0.383447255,0.008889783,-0.003773485,0.075050737,-0.051478267,-0.0523587,0.01050305,-0.036026637,-0.058120012,0.14642105,0.052687537,-0.134583206,0.071705651,0.12095976,-0.01320447,0.020022781,0.011895912,-0.027837797,1.228632901,208.2801458,condition1_3_2_8_2
condition1,-0.043923975,0.069796357,-0.029398657,-0.016833306,0.007165317,-0.020973765,0.002347576,-0.002811664,0.030256786,0.012910178,-0.003351644,0.097593302,0.024516656,-0.08391246,0.005623003,-0.001319054,0.00753221,-0.008433369,0.172824584,0.001796605,-0.222483589,-0.034726377,0.057893158,0.008498192,-0.040271421,-0.009663034,0.019649091,0.033158089,0.007225079,-0.001247821,-0.065373275,0.006436433,0.027767519,-0.000798825,-0.017845492,-0.022805608,1.406405026,194.6114929,condition1_3_2_6_1
